tranche,zincid,SMILES,pIC50_pred,knn_similarity,reliability
H24P150,ZINCol00000fIBji,Cc1cc(C(=O)N[C@H]2CC[C@@H](NC(=O)[C@](C)(O)C(C)C)C2)cn1C,6.276132777247995,0.35405594,High
H25P030,ZINCp900000MJQvg,Cc1scc(C(=O)N2C[C@@H]3C[C@]3(NC(=O)c3cnnc(O)c3)C2)c1N,6.276109860767009,0.19998308,Low
H24P100,ZINCog00000zTx3L,Cc1nc2cc(C(=O)N[C@@H]3C[C@H]3CNC(=O)C=C[S@](C)=O)[nH]c2s1,6.2760765758762265,0.22002283,Low
H25P300,ZINCpA00000O5Anc,C=CC[C@H](C)CN(CC[C@](C)(O)C1CC1)C(=O)Cn1nc(C)cc1C,6.2760332628979105,0.20101567,Low
H25P070,ZINCpd000015PhrV,O=C(Cn1cc(-c2ncc(Cl)cc2Cl)nn1)N1CCN(CCO)CC1,6.275960834090776,0.23952088,Low
H24P080,ZINCoe000000WJ59,COc1cc(C)nc(CCN2C(=O)N[C@@H]([C@@H]3CCCCO3)C2=O)n1,6.275902176067795,0.25098836,Low
H25P320,ZINCpC00000w10pD,C[C@H]1CO[C@H](c2ccccc2Cl)CN1C(=O)[C@](C)(O)C#C[Si](C)(C)C,6.27590027144633,0.23221794,Low
H24P170,ZINCon00000i4Wxj,C[C@@H](O)c1nc(C[C@H]2C=NN(C)C2=O)n(-c2ccc(F)c(Cl)c2)n1,6.275891417076018,0.2354928,Low
H25P240,ZINCpu00000gtVSQ,O=C(NC[C@@H]1C[C@@H]1NC(=O)C12CCC(CC1)O2)c1cc(F)ccc1Cl,6.275875762996717,0.26012757,Low
H24P190,ZINCop00000FDbxB,O=C(C[C@H]1COCCN1C(=O)c1cc(Cl)cs1)NC[C@@H]1CCCO1,6.275848297581494,0.25552258,Low
H23P280,ZINCny00000bsK6J,Cc1ccc(C)c(C(=O)NC[C@@H]2C[C@H]2NC(=O)C2=C(Cl)CC2)c1,6.275782971654777,0.25127506,Low
H24P020,ZINCo800000HG6go,Cc1nc(C(=O)N(C)[C@H](C)C(=O)NCCN2CC(CF)C2)cn1C,6.275763055808413,0.27302825,Low
H25P240,ZINCpu000006w9dS,C=CCCn1c(-c2coc(CO)c2)nnc1N1CC[C@@H](COCC)C1,6.275720685448196,0.21862468,Low
H23P200,ZINCnq00000NvKSO,C[C@H]1C[C@@H]1NC(=O)c1ccc(-c2cn(C[C@@H](C)N)nn2)c(Cl)c1,6.275707531687143,0.35176867,High
H22P130,ZINCmj00000uDLCa,CC[C@H](c1ccc(F)cc1F)n1nc(C(N)=O)cc1C(N)=O,6.275673580517413,0.3202489,High
H23P220,ZINCns000000OqnN,Cc1cncc(CC(=O)N2CCn3c(C(C)C)nnc3[C@H]2C)c1,6.27562144202864,0.22756073,Low
H24P270,ZINCox00000p6Ygu,Cc1cc(C(=O)N[C@@H]2CCC[C@@H](NC(=O)C3CC=CC3)C2)c(N)s1,6.275531539044379,0.26033783,Low
H25P150,ZINCpl0000069aKZ,CC(C)(O)c1cn([C@H]2C[C@H]3CC[C@@]2(NC(=O)COCC2CC2)C3)nn1,6.275511681136599,0.22187242,Low
H24P130,ZINCoj00000sEB06,Cc1oc(Br)cc1C(=O)NCCc1cn([C@@H]2CCN(C)C2=O)nn1,6.275466170588821,0.277721,Low
H25P380,ZINCpI0000043d6N,CC(C)c1nnsc1C(=O)N[C@@H]1CCN([C@H](C)c2ccc(Cl)cc2)C1,6.275400101160714,0.31728706,High
H25P280,ZINCpy00000s2u6C,CC[C@](C)(O)C(=O)N[C@H]1C[C@@H](NC(=O)c2c(O)c(Cl)cc(Cl)c2Cl)C1,6.275378428824522,0.24037114,Low
H24P110,ZINCoh0000007yhW,Cc1ccc(Br)c(CS(=O)(=O)N2CCC3(CC2)CNC(=O)[C@@H]3O)c1,6.275360036569393,0.2471549,Low
H21P120,ZINCli000018SmO1,Cc1c(C(=O)OC[C@H](O)CF)nnn1-c1ccccc1F,6.2753297032785476,0.2507141,Low
H25P150,ZINCpl00000n8T2T,Cc1ncn(O)c1C(=O)N[C@H]1CC[C@@H](NC(=O)c2cc(Cl)cn2C)C1,6.275272651230977,0.31862068,High
H25P080,ZINCpe000015KM1a,CC[C@H](CO)CNC(=O)[C@]1(NC(=O)C[C@H]2CCCSC2)CCN(C)C1,6.275207289879066,0.1699613,Low
H23P190,ZINCnp000002OMpP,C[C@H]1COCCN1C(=O)C(=O)N[C@H]1C[C@H](c2ccc(Cl)cc2)C1,6.275169674411928,0.26150706,Low
H25P160,ZINCpm00001BNGaJ,C=Cn1nccc1C(=O)N(Cc1nnc(C)n1C)C[C@H](O)CCCC,6.275167109620351,0.2262887,Low
H25P380,ZINCpI00000sYq2p,CCn1nnnc1[C@H](CCc1ccc(Cl)cc1)NCC1(SC)CCC1,6.275160228850108,0.21738152,Low
H25P030,ZINCp900000rdqw1,COC(=O)c1oc(C(=O)N[C@@H]2C[C@H]2CNC(=O)[C@H]2C[C@@H](O)C2)cc1C,6.275092811310219,0.24708351,Low
H24P320,ZINCoC00000t71ge,Cc1coc(CN(C[C@H]2CCCCO2)C(=O)[C@](C)(O)CC(C)C)c1,6.275030753167332,0.25859323,Low
H25P310,ZINCpB00000xy6d1,CCC(CC)Cn1cc(CONC(=O)c2nc3ccccc3s2)nn1,6.274994433715628,0.26606524,Low
H25P240,ZINCpu00000ty1Ef,CCc1cc(C)ccc1C(=O)N[C@@H]1CC[C@H]1NC(=O)[C@H]1CC[C@H]1C#N,6.274976757432421,0.25331858,Low
H25P160,ZINCpm00000plPdE,Cc1ccc(Cl)cc1C(=O)NC1CC(C)(NC(=O)[C@@H]2CCS2(=O)=O)C1,6.274837660182588,0.2725247,Low
H25M000,ZINCp5000015OfAu,COC[C@](O)(CO)CNC(=O)[C@@H](O)C1CN(C(=O)c2cc(Cl)cs2)C1,6.274797807230077,0.22570205,Low
H24P310,ZINCoB00000t6w3X,CC1CC(N=c2nc3scnc3c(NC[C@H](C)N(C)C3CC3)[nH]2)C1,6.274788938013485,0.18198793,Low
H23P210,ZINCnr000007R8yC,C[C@@H]1OC2(C(=O)N3CC(CNC(=O)c4cc(Cl)cs4)C3)CC1C2,6.274782874991753,0.23752797,Low
H23P070,ZINCnd00000RMSel,Cc1cc(N2CC[C@@H](NC(=O)CC[C@H](C)CCO)C2=O)n(C)n1,6.274778373380626,0.234145,Low
H25P330,ZINCpD00000O4gfA,CCc1cc(CN(Cc2sncc2C)C[C@H]2CCCC[C@H]2O)n(C)n1,6.274756565832611,0.19966832,Low
H25P200,ZINCpq00000mcR90,CCn1nc(C(=O)NC2(C(=O)NCC3CC(F)(F)C3)CCC2)cc1C,6.274721642926172,0.2455245,Low
H25P070,ZINCpd00000xnZHy,Cc1cc(C(=O)N[C@H](C)[C@@H](CO)NC(=O)C[C@@H]2C[C@H]2C2CC2)nn1C,6.274706990009907,0.25785184,Low
H24M100,ZINCo40000168Mxt,COC[C@](C)(O)C(=O)N1CC[C@@H]2[C@@H](C1)[C@@H]2NC(=O)[C@H]1C[C@H]1C(N)=O,6.274682975141932,0.1956872,Low
H25P190,ZINCpp00000cQBNL,C[C@@H](CC(=O)N[C@H]1CCSC12CN(c1ccc(C#N)nn1)C2)C1CC1,6.274677630007013,0.21565461,Low
H24P270,ZINCox00000B8chN,COC(=O)C[C@H]1COc2cccc(-c3ccc4nnc(C)n4c3)c21,6.274616944330959,0.29333073,Low
H25P160,ZINCpm00000GKwEj,Cn1cc(NC(=O)C[C@H]2C[C@@H]3CC[C@H]2C3)nc1C(=O)NCC(C)(C)O,6.274499444018135,0.2196552,Low
H25P030,ZINCp900000qQwt9,CC1(NC(=O)c2cc(CS(C)(=O)=O)on2)CC(NC(=O)[C@@H]2C[C@@H]2F)C1,6.274463563998012,0.22276282,Low
H25P130,ZINCpj00000y80bZ,COCCS(=O)(=O)Cc1nc(-c2cc(C)oc2C)nn1C[C@@H](C)CO,6.274385777271305,0.2146668,Low
H23P140,ZINCnk00000K81e3,CC(C)(O)CCNC(=O)[C@H]1CCN1Cc1cc2cc[nH]c2cn1,6.274338119484931,0.2718727,Low
H24P180,ZINCoo00000nJdXq,O=C(CC1CSC1)NCCn1cc(COc2cccc(F)c2)nn1,6.274264090761857,0.29100102,Low
H23P200,ZINCnq00000MzWow,CSCC[C@H]1C[C@@H](NS(=O)(=O)c2cccc(CS(C)(=O)=O)c2)C1,6.274223899175147,0.31418586,High
H24P330,ZINCoD00000IZZJF,C[C@@H](c1ccc(Cl)cc1)n1cc(CCC(=O)N[C@@H]2CC2(C)C)nn1,6.274218813792419,0.28176516,Low
H24P120,ZINCoi00000mOsEO,Cc1c(Cl)cncc1C(=O)N1CC(NC(=O)[C@@](C)(O)C(F)(F)F)C1,6.2742077570563755,0.23415582,Low
H25P270,ZINCpx00000PFSe2,Cc1nn(C)c(C(=O)NCc2ccc(Cl)cc2OC(C)C)c1C(=O)O,6.274206146379529,0.29057652,Low
H23P080,ZINCne00000FoSEA,Cc1cncc(C(=O)NC[C@@](C)(O)CNC(=O)CSC2CC2)c1,6.274200121675545,0.24392018,Low
H25P320,ZINCpC00000capwT,CC(C)=CCCC(=O)N[C@H]1C[C@H]1CNC(=O)c1cc(N)c(C)cc1Cl,6.2741475953670385,0.2081931,Low
H23P330,ZINCnD00000d98Pk,CC[C@H](Oc1ccc(Br)cc1F)C(=O)N1C[C@H](CO)CC1(C)C,6.274007275528727,0.23481885,Low
H25P110,ZINCph00000fqUXC,C[C@H]1C[C@@H](NC(=O)c2cc(=O)n(C)cn2)CN1c1snc(Cl)c1C#N,6.273989315180278,0.23516619,Low
H25P220,ZINCps00000lqlM9,CCn1cc(S(=O)(=O)N(C)C2CCN(c3ccc(Cl)cc3)CC2)nn1,6.273878385499524,0.27042165,Low
H25P080,ZINCpe000015IcaM,CC1CCC(C(=O)NC2(CC(=O)NCc3nn(C)c(=O)o3)CC2)CC1,6.273856905624582,0.21549305,Low
H23P070,ZINCnd000000SCAh,C[C@H](NC(N)=O)C(=O)N[C@@H]1CCN(c2ccc(F)c(Cl)c2)C1=O,6.273800177351493,0.24930088,Low
H25P370,ZINCpH00000FEPHS,Cc1ccc(CN(C[C@H](F)C2CC2)C(=O)[C@@](C)(O)C2CCC2)c(F)c1,6.273692986640973,0.21463263,Low
H25P300,ZINCpA00000t947r,Cn1cc(Cl)cc1C(=O)N[C@]1(C)C[C@@H](NC(=O)[C@H]2CCCC23CC3)C1,6.273654496778104,0.22861199,Low
H24P300,ZINCoA00000IjSWl,CCc1cc2[nH]c(=N)[nH]c2cc1-c1cc(F)cc(CS(C)(=O)=O)c1,6.273600581849683,0.24741924,Low
H23P340,ZINCnE00000gSayg,Cc1ccc([C@@H]2C[C@H]2C(=O)N[C@@H](C)c2cccc([N+](=O)[O-])c2)o1,6.273597206257416,0.2514105,Low
H25P310,ZINCpB000003NBdm,COc1cc(C)nc(N[C@H]2CCCN(C(=O)c3ccc(Cl)cc3)C2)n1,6.273585318005724,0.30459744,High
H24P160,ZINCom00000tbG57,C[C@H](NC(=O)c1cc2n(n1)CCC2)C1(C(=O)N[C@H]2CC2(C)C)CC1,6.273560955420967,0.25725105,Low
H25P230,ZINCpt00000iV3kM,Cc1cc(=NCc2nn(C)nc2Br)[nH]c(=NC[C@H](CO)C(C)(C)C)[nH]1,6.2735473411955285,0.17001721,Low
H25P320,ZINCpC00000O69hm,C=C[C@@H]1CCCN([C@H](c2ccc(C(F)F)c(F)c2)c2nnnn2C)C1,6.273512694599154,0.20817038,Low
H24P150,ZINCol00000mOLTI,CN(CCNC(=O)C[C@@H]1C[C@H]2CC[C@H]1C2)C(=O)c1cc(C#N)on1,6.273502566835083,0.21860723,Low
H25P290,ZINCpz00000O5cHB,CCCC[C@@H](C)CN(C[C@@H]1C[C@H]2CC[C@@H]1O2)C(=O)c1cc(O)n(C)n1,6.273479670904003,0.21015099,Low
H22P130,ZINCmj000001yVHV,CS(=O)(=O)Cc1noc(CN2CCC[C@@H]2c2ccccn2)n1,6.273475450601463,0.30275288,High
H25P300,ZINCpA00000a9npr,C[C@H](NC(=O)CC1CC=CC1)[C@H](C)NC(=O)c1cc(F)c(F)c(F)c1,6.273433859133079,0.25497073,Low
H25P170,ZINCpn00000SLfn9,CCNS(=O)(=O)CCN[C@@H](c1cc(Cl)cs1)c1nnnn1C(C)(C)C,6.273394199416203,0.19346365,Low
H25P380,ZINCpI0000043fD8,CC(C)n1cc(CN(C)C(=O)[C@@H]2CC[C@H]2c2ccc(Cl)cc2F)nn1,6.273347730173054,0.2916121,Low
H25P050,ZINCpb000027XMfH,CC[C@H]1CN([C@H](c2cn[nH]c2)c2nnnn2CCCOC)CCN1C,6.273312511663182,0.2041372,Low
H25P060,ZINCpc000027XTaH,CC[C@H](C(=O)N1CC[C@@H]2[C@H](C1)[C@@H]2NC(=O)c1cn(C)c(C)n1)N(C)C,6.273287150932601,0.24913593,Low
H25P050,ZINCpb000015OBu0,COC(=O)[C@H]1C[C@H]1CN[C@@H](c1cc(C)[nH]n1)c1nnnn1CCCF,6.27326445739765,0.20216632,Low
H25P220,ZINCps00000CFPga,O=C(C[C@H]1C[C@@H](NC(=O)c2cnc3cc[nH]c3c2)C1)NC1CC=CC1,6.273250178371586,0.29445374,Low
H25P240,ZINCpu00000tztuX,C=C[C@@H]1OCC[C@H]1N=c1[nH]c(C2CC2)nc(=NCc2ocnc2C)[nH]1,6.273234511765633,0.25624815,Low
H25P130,ZINCpj00000Rk29t,NCCN1CCN(Cc2n[nH]c3cc([N+](=O)[O-])ccc23)[C@@H](C2CC2)C1,6.27323134260305,0.21265486,Low
H25P150,ZINCpl00000SHcAv,C#CC[C@H]1CN([C@H](C(=O)NC2(C)CC2)c2cc(C)nc(C)n2)CCO1,6.273203098571742,0.21406429,Low
H25P240,ZINCpu00000txn5h,Cc1cc(C)c(CN(Cc2nnc(C)n2C)C[C@H](C)C2CC2)c(O)n1,6.273176950368948,0.22185703,Low
H25P020,ZINCp800000qzwiw,O=C(NC[C@H]1C[C@@H](O)CN1C(=O)[C@H]1CCSC1)c1cc2n(n1)CCC2,6.2731096031683515,0.21499296,Low
H25P330,ZINCpD00000dBnhW,CCC(C)(CC)C(=O)N1CC[C@@H](NC(=O)c2cc(Cl)cs2)C[C@@H](O)C1,6.273105169376437,0.25758582,Low
H25P290,ZINCpz00000qDYIU,N#C[C@]1(NC(=O)[C@H]2CC=CCC2)CCN(Cc2ccc(F)c(F)c2)C1,6.273076087300963,0.2259434,Low
